keyword,tweet
gojek,"‼️ ShopeeFood DISKON 100%
Max 30rb 💌
* Semua resto, pesanan terjadwal

Klaim dan belinya disiniii 👇
https://t.co/8h7LPu3baB
https://t.co/8h7LPu3baB

t. gofood grabfood kode promo go grab shopee food sfood voucher daget gojek gratis ongkir https://t.co/nWdLrunCzC"
gojek,"@kegblgnunfaedh Udah sering ya orderan fiktif gini, grab dan gojek gamau cari cara nih gmn ngehilangin orderan fiktif ini?"
gojek,"TOLOL!!

BIASAIN YA MESEN GOJEK ITU PAS LU UDAH DI TITIK JEMPUT!! PUKIMAK! 
PENUMPANG KEA BEGINI NIH YANG BIKIN LALU LINTAS MACET SOALNYA DRIVER HARUS NUNGGU DI PINGGIR JALAN

KONTOL PUKIMAK https://t.co/YLaUdcuzB8"
gojek,"KENAPA GAK DARITADIII gt padahal sengaja naik gojek biar gak telat, alhamdulillah dapet next driver yang komunikatif🥹 dan sampe rs walaupun udah mepet tapi gak telat😫"
gojek,"@jogja_base Gojek aja nderr lebih jelas yang bawa siapa jadi bisa ditracking kalau amit-amit kenapa"""
gojek,"Dulu ga pernah pake grab selalu gojek, ternyata grab lebih murah. Mau coba langganan grab unlimited deh. Karena skrg aku sering bgt beli makan🥲"
gojek,"@jogja_base maaf, emg grab/gojek gaada kah?"
gojek,"Ayam Koplo by Hangry on SHOPEEFOOD DISKON jadi 7Ka an aja ✨😭 Nasi Ayam Goreng Penyet + Sambel 🍗 

Pakai voucher disini sekarang👇👇
https://t.co/UTasA2Zcdw
https://t.co/UTasA2Zcdw

t. gofood grabfood kode promo go grab shopee food sfood daget gojek thr shopeepay https://t.co/xh2GdxlkOp"
gojek,"Shopeefood Diskon 90% s/d 25rb ‼️ Khusus untuk resto tertentu! 🍝🍜

Cek dan klaim dari resto ini 👇
https://t.co/doSg7ARsJ8

t. gofood grabfood kode promo go grab shopee food sfood voucher gojek https://t.co/aNkFanc4gK"
gojek,"Klaim vc di halaman restoo🥳
siapa tau akunnya wangii✨️
👍 https://t.co/OjyYGLGAQg

gofood grabfood shopeefood kode promo go grab shopee food diskon voucher daget gojek https://t.co/hgoNCClHDI"
gojek,"Pas bgt tadi pagi w lewat stasiun palmerah (for the first time). Trs w mikir ni stasiun kenapa macet dah, padahal keretanya udh dikasih pager (i mean berarti kan bukan karna kereta lewat). Ternyata... Banyak beud gojek yg nunggu😭 https://t.co/AW026L6dug"
gojek,"‼️ Voucher diskon 100% max 40rb! Bisa semua resto ✨

Klaim di resto ini sebelum habis 👇👇👇
https://t.co/p9LzoEogsv
https://t.co/p9LzoEogsv

t. gofood grabfood shopeefood kode promo go grab shopee food gojek daget gratis ongkir thr dana kaget https://t.co/ps6joognEw"
gojek,"Ada potongan Moon Chicken 🥳 klaim voucher nya di halaman resto (siapa tau hoki) ✨️
👍 https://t.co/gwckoCbPef

Diskon gofood grabfood shopeefood kode promo go grab shopee food daget gojek thr shopeepay https://t.co/jSptYGXFlV"
gojek,"kayak tadi pagi baru banget kejadian. sampe stasiun jam 7.03, udah telat ngejar mrt yg 7.04 alhasil pesen gojek. Langsung dapet, tp ditunggu 9 menit malah menjauh drivernya. Trs ngechat 'maaf bgt cuma bawa helm 1' alias ga mungkin kalo ngojol di jkt tp cuma bawa helm buat dia aja"
gojek,"WINGSTOP SHOPEEFOOD DISKON jadi 5K aja Combo 3 Boneless 🤤🍗🐔

‼️ Klaim voucher nya disini sebelum habis 👇👇
https://t.co/D3iHNzk5AI
https://t.co/D3iHNzk5AI

daget gofood grabfood kode promo go grab shopee food sfood voucher gojek thr shopeepay https://t.co/y3k2ytSuqE"
gojek,"Dari Pada Blonde Creamy Latte DISKON jadi 2K-an aja bisa pick up ✨

‼️ Klaim voucher-nya di sini sebelum habis 👇👇
https://t.co/4uue6niSc7
https://t.co/4uue6niSc7

t. daget gofood grabfood kode promo go grab shopee food jerome sfood gojek kopi https://t.co/oFXBHlCBfT"
gojek,gojek tersedih yg gue naikin selama gue hidup adalah gojek pcx td sore 😔☹️
gojek,"Ada yang ngelaporin pramugari kai disangka pacaran depan umum padahal cuma lagi nunggu kereta.

Ada yang ngelaporin driver gojek ngecancel orderan padahal dia aja pesennya pas belum keluar stasiun.

Ni twitter emang udah diisi orang-orang bejat apa gimana?"
gojek,"@ruang_comment @aishiteRIE2124 Saya kmrn pake yg normal malah suruh pake yg hemat kata abangnya klo deket2 pke yg hemat aja , jdi skrg pake yg hemat grab / gojek"
gojek,sumpah tiap balik jam segini tuh naik gojek bawaannya kalo abis dr lampu merah jalan udh kaya mau kepental ke belakang anjir
gojek,"W klo beli makan klo gk sopipud ya grabpud, gojek medit skrng"
gojek,"jahat bgt sumpah.. klo mau nyaman, ada gocar, gojek, grab atau pke kendaraan sndiri kan bisa. transportasi umum kan buat smua orang bkn buat lo doang 🫵"
gojek,"Berikut info driver, chat driver dan chat CS Gojek. https://t.co/wqDy174GUx"
gojek,"Aku sampe rumah ku telfon terus terusan driver sampe chat CS Gojek open ticket juga, cuma sampai sekarang blum ada kabar baik dari pihak driver dan Gojek. Aku mengakui ini pure keteledoran aku sendiri, tapi apa salahnya masih ada orang baik mau membantu .."
gojek,"Do Your Magic PLEASE!! Temen-temen aku baru dapet musibah atas keteledoran diri sendiri, ketinggalan dompet di gocar :"")  #helpme #doyourmagic #gojek #gocar #jakarta"
gojek,"Mmm no, beda akun beda wanginya. Aku pake SF kalau ada disc. 40-60%/24rb keatas. Dibawah 20rb an aku ga pake. Paling cari di Gojek, yg diatas 48% (aku utamain yg ada disc. + nya jg). Itupun mesti bandingin lagi sama akun suami. Akun Grab aku bau, jarang promo, ga dipake."
gojek,"@laalaafun @cassiocpeia @gtauadasiapadmn Rating akun kita as costumer ka
Kalo di gojek driver bisa ngasih rating ke penumpang dan cuma bisa diliat driver"
gojek,@BacktoGlory21 @UncoverSakti @krougee Simpelnya kang gojek ini gaada beking sekuat bobbo
gojek,"@Ordinaryjhonny memangg sopiput adalah penolong, bedanya bisa 20-30rb sendiri dibanding sm gojek/grab, malah kl gojek/grab tu mesti beli banyak gitulo br dapet promo, sedangkan sopiput beli satu item aja udah dapet diskon, love sekebon buat sopiputt"
gojek,Terima kasih kepada semua driver gojek malem ku yang selalu ngebut tiap nganter pulang di atas jam 9 malem yall are heros frfr
gojek,"@Ordinaryjhonny Gak. Paling murah gofood (kalau langganan gojek plus).
Kalau shopeefood tetap mahal meskipun langganan voucher.
Grabfood paling gak jelas pakai vouchernya."
gojek,@ruang_comment @aishiteRIE2124 Gojek sekarang bukan buat kaum mendang Meding Bambang
gojek,"kon nek pesen gojek, pastikno kon wes nde lokasi titik temu, ojok kon pesen pas sek beres-beres atau sek nde jeding, tapi pas kon wes nde titik iku. ojok kemontol dadi lanang, kakean ngespill koyok banci"
gojek,Gojek babi ngeselin
gojek,tp kl udh scroll gojek tuh lgsg kenyang anjr
gojek,@vibemuted rilllll klo ga ada gojek hidup gue gimana coba😭😭😭
gojek,"Mesen pas udah di lokasi, driver Grab / Gojek bukan supir pribadimu. Udah dia yg salah, nyolot pula, tolol. https://t.co/g3ZurqPsyN"
gojek,@tubirfess Namanya transportasi umum nderr. Kalo ga mau gini mah naik gojek aja.
gojek,gojek lemot bgt si update tracking drivernya
gojek,"@Ordinaryjhonny kalo buat sendiri iya, tp kalo buat berdua atau banyakan gojek lebi murahh"
gojek,kabarin gua kalo nakoa malang udh ada milkbun nya di shopee atau gojek
